;Class;Order;Family
denovo99070;Cyanobacteria;SubsectionI;FamilyI
denovo93983;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
denovo98561;Cyanobacteria;SubsectionI;FamilyI
denovo80399;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
denovo80460;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae
denovo60081;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo60769;Cyanobacteria;SubsectionI;FamilyI
denovo97426;Cyanobacteria;SubsectionI;FamilyI
denovo77346;Gammaproteobacteria;0;0
denovo85693;Spirochaetes;Spirochaetales;PL-11B10
denovo84777;Cyanobacteria;SubsectionI;FamilyI
denovo95541;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured bacterium
denovo81805;Cyanobacteria;SubsectionIII;FamilyI
denovo86990;Chloroplast;0;0
denovo94037;Cyanobacteria;SubsectionI;FamilyI
denovo99686;Actinobacteria;Micrococcales;Microbacteriaceae
denovo57386;OPB35 soil group;uncultured bacterium;0
denovo85857;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo89778;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
denovo98379;Cyanobacteria;SubsectionI;FamilyI
denovo96856;Actinobacteria;Frankiales;Sporichthyaceae
denovo81604;Cyanobacteria;SubsectionI;FamilyI
denovo97049;Cyanobacteria;SubsectionI;FamilyI
denovo94857;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo93494;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
denovo97074;uncultured bacterium;0;0
denovo90926;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
denovo83568;Actinobacteria;Frankiales;Sporichthyaceae
denovo57758;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo101276;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo103918;Gammaproteobacteria;Chromatiales;Chromatiaceae
denovo107782;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo8763;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae
denovo140763;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo142616;Actinobacteria;Frankiales;Sporichthyaceae
denovo88644;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo88352;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo143918;Actinobacteria;Micrococcales;Microbacteriaceae
denovo88739;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo109260;Opitutae;Opitutales;Opitutaceae
denovo146848;Cyanobacteria;SubsectionI;FamilyI
denovo148242;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo146250;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo145264;Bacteroidetes vadinHA17;uncultured bacterium;0
denovo54180;Cyanobacteria;SubsectionI;FamilyI
denovo49657;Cyanobacteria;SubsectionI;FamilyI
denovo56901;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo52308;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
denovo51740;Bacteroidia;Bacteroidales;Porphyromonadaceae
denovo56481;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo52934;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo49136;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
denovo51818;Ignavibacteria;Ignavibacteriales;LD-RB-34
denovo55905;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo53492;Bacilli;Bacillales;Paenibacillaceae
denovo100303;uncultured bacterium;0;0
denovo106798;SJA-15;0;0
denovo13503;Actinobacteria;Corynebacteriales;Corynebacteriaceae
denovo34871;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo22567;Cyanobacteria;SubsectionI;FamilyI
denovo159220;Cyanobacteria;SubsectionI;FamilyI
denovo42098;Cyanobacteria;SubsectionIII;FamilyI
denovo3290;Cyanobacteria;SubsectionIII;FamilyI
denovo16287;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo112464;Gammaproteobacteria;Vibrionales;Vibrionaceae
denovo152048;WCHB1-41;0;0
denovo117509;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo155029;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo20960;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo28155;Deltaproteobacteria;Oligoflexales;Oligoflexaceae
denovo38742;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
denovo1385;uncultured bacterium;0;0
denovo118945;Cyanobacteria;SubsectionI;FamilyI
denovo30972;Cyanobacteria;SubsectionI;FamilyI
denovo127598;Deltaproteobacteria;Bradymonadales;uncultured bacterium
denovo40567;Bacteroidetes vadinHA17;uncultured bacterium;0
denovo158143;Cyanobacteria;SubsectionI;FamilyI
denovo160918;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo11847;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae
denovo154028;Actinobacteria;PeM15;uncultured bacterium
denovo154664;Gammaproteobacteria;Aeromonadales;Aeromonadaceae
denovo4732;Clostridia;Clostridiales;Ruminococcaceae
denovo30255;Gammaproteobacteria;Legionellales;Coxiellaceae
denovo17161;Cyanobacteria;SubsectionI;FamilyI
denovo45113;Cyanobacteria;SubsectionI;FamilyI
denovo118275;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae
denovo37519;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo13759;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo117559;Cyanobacteria;SubsectionI;FamilyI
denovo127493;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo34883;OPB35 soil group;0;0
denovo30751;Ignavibacteria;Ignavibacteriales;BSV26
denovo35753;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
denovo110127;Cyanobacteria;SubsectionI;FamilyI
denovo144988;Cyanobacteria;SubsectionIII;FamilyI
denovo144678;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo158900;Alphaproteobacteria;Rhizobiales;MNG7
denovo114172;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo119423;Cyanobacteria;SubsectionI;FamilyI
denovo15958;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo4231;Betaproteobacteria;Neisseriales;Neisseriaceae
denovo39083;Cyanobacteria;SubsectionIII;FamilyI
denovo39149;Cyanobacteria;SubsectionI;FamilyI
denovo138509;Cyanobacteria;SubsectionI;FamilyI
denovo125798;Gammaproteobacteria;Pseudomonadales;Moraxellaceae
denovo119497;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo150762;Chloroplast;uncultured bacterium;0
denovo134475;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo47273;Cyanobacteria;SubsectionIV;FamilyI
denovo140481;Actinobacteria;Micrococcales;Microbacteriaceae
denovo111777;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo18210;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo130928;Gammaproteobacteria;Chromatiales;Chromatiaceae
denovo130636;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo44850;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
denovo120292;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo157727;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo42833;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo38173;Cyanobacteria;SubsectionI;FamilyI
denovo42811;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae
denovo18407;Cyanobacteria;SubsectionI;FamilyI
denovo132411;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo157458;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo37981;Betaproteobacteria;SC-I-84;0
denovo132432;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae
denovo31017;Spartobacteria;Chthoniobacterales;Chthoniobacterales Incertae Sedis
denovo139235;Actinobacteria;Micrococcales;Microbacteriaceae
denovo25458;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo127269;Actinobacteria;Frankiales;Sporichthyaceae
denovo18326;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
denovo30251;Chloroplast;uncultured bacterium;0
denovo159297;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo15787;Cyanobacteria;SubsectionI;FamilyI
denovo111058;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
denovo41023;OPB35 soil group;uncultured bacterium;0
denovo19936;Actinobacteria;Micrococcales;Microbacteriaceae
denovo151032;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae
denovo115011;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo133538;Actinobacteria;Micrococcales;Microbacteriaceae
denovo139872;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo47270;Actinobacteria;Micrococcales;Microbacteriaceae
denovo154978;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
denovo12328;Actinobacteria;Micrococcales;Microbacteriaceae
denovo13675;Cyanobacteria;SubsectionIII;FamilyI
denovo16111;Gammaproteobacteria;Oceanospirillales;Halomonadaceae
denovo100530;Cyanobacteria;SubsectionI;FamilyI
denovo103596;Cyanobacteria;SubsectionI;FamilyI
denovo76172;Cyanobacteria;SubsectionIV;FamilyI
denovo65044;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
denovo63568;Cyanobacteria;SubsectionI;FamilyI
denovo76329;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo71177;Cyanobacteria;SubsectionI;FamilyI
denovo71536;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo75547;Cyanobacteria;SubsectionI;FamilyI
denovo61933;Cyanobacteria;SubsectionI;FamilyI
denovo75889;Opitutae;Opitutales;Opitutaceae
denovo62296;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo7632;Deltaproteobacteria;Myxococcales;Nannocystaceae
denovo66595;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured bacterium
denovo62476;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo62071;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae
denovo64455;WCHB1-32;uncultured bacterium;0
denovo62705;Sphingobacteriia;Sphingobacteriales;env.OPS 17
denovo72265;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo62704;Cyanobacteria;SubsectionI;FamilyI
denovo67808;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo74943;Acidimicrobiia;Acidimicrobiales;uncultured
denovo67674;Cytophagia;Cytophagales;Cytophagaceae
denovo62513;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae
denovo62814;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo74517;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo100518;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo104346;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo80265;Chloroplast;0;0
denovo95864;Cyanobacteria;SubsectionI;FamilyI
denovo93009;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo7760;Clostridia;Clostridiales;Family XII
denovo90665;Cyanobacteria;SubsectionI;FamilyI
denovo58646;Ignavibacteria;Ignavibacteriales;IheB3-7
denovo97068;Cyanobacteria;SubsectionI;FamilyI
denovo81820;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo59730;Cyanobacteria;SubsectionI;FamilyI
denovo94817;Alphaproteobacteria;SAR11 clade;LD12 freshwater group
denovo98534;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo91676;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo83006;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo96825;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae
denovo61418;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
denovo94168;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo84683;OPB35 soil group;uncultured bacterium;0
denovo97233;Cytophagia;Cytophagales;Cytophagaceae
denovo77702;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae
denovo85500;Betaproteobacteria;Nitrosomonadales;Gallionellaceae
denovo57200;Cyanobacteria;SubsectionI;FamilyI
denovo97755;Chloroplast;0;0
denovo96529;Cyanobacteria;SubsectionIII;FamilyI
denovo96209;Ignavibacteria;Ignavibacteriales;SR-FBR-L83
denovo79346;Spartobacteria;Chthoniobacterales;LD29
denovo83186;Cyanobacteria;SubsectionI;FamilyI
denovo59833;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo77728;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo97641;Chloroplast;0;0
denovo89827;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo105103;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
denovo102767;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo103016;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae
denovo100433;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo89167;Cytophagia;Cytophagales;Cytophagaceae
denovo88097;OPB35 soil group;uncultured bacterium;0
denovo144026;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo141171;Cyanobacteria;SubsectionI;FamilyI
denovo144126;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo144009;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae
denovo142606;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo14239;Spartobacteria;Chthoniobacterales;DA101 soil group
denovo14133;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo148302;Cyanobacteria;SubsectionIII;FamilyI
denovo145609;Alphaproteobacteria;SAR11 clade;LD12 freshwater group
denovo150386;Cyanobacteria;SubsectionI;FamilyI
denovo146293;Cyanobacteria;SubsectionI;FamilyI
denovo148175;Cyanobacteria;SubsectionI;FamilyI
denovo145993;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
denovo146204;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo146092;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo52192;Cyanobacteria;SubsectionIII;FamilyI
denovo52511;Cyanobacteria;SubsectionIII;FamilyI
denovo48470;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo4947;Actinobacteria;Frankiales;Sporichthyaceae
denovo51332;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo52978;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
denovo101504;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo104368;Clostridia;Clostridiales;Ruminococcaceae
denovo41173;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo44108;Cyanobacteria;SubsectionI;FamilyI
denovo124526;Cyanobacteria;SubsectionI;FamilyI
denovo323;Cyanobacteria;SubsectionIII;FamilyI
denovo118802;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
denovo124250;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo31297;Bacteroidia;Bacteroidales;Porphyromonadaceae
denovo15193;Sphingobacteriia;Sphingobacteriales;uncultured
denovo137870;Chloroflexia;Chloroflexales;Roseiflexaceae
denovo13669;Cyanobacteria;SubsectionI;FamilyI
denovo35038;Cyanobacteria;SubsectionI;FamilyI
denovo122285;Cyanobacteria;SubsectionI;FamilyI
denovo24839;Cyanobacteria;SubsectionIII;FamilyI
denovo155635;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo157398;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo125550;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo114811;Deltaproteobacteria;Oligoflexales;0319-6G20
denovo35007;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo155183;Cyanobacteria;SubsectionI;FamilyI
denovo12503;Cyanobacteria;SubsectionI;FamilyI
denovo126380;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae
denovo111921;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo20303;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo42017;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo12746;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae
denovo139853;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo17725;Cyanobacteria;SubsectionI;FamilyI
denovo121822;uncultured bacterium;0;0
denovo126606;Cyanobacteria;SubsectionI;FamilyI
denovo19148;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae
denovo122594;Gammaproteobacteria;Xanthomonadales;Nevskiaceae
denovo38615;Cyanobacteria;SubsectionI;FamilyI
denovo12823;Cyanobacteria;SubsectionI;FamilyI
denovo144172;Cyanobacteria;SubsectionI;FamilyI
denovo135695;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae
denovo42437;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo25706;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo128694;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo19053;Cyanobacteria;SubsectionI;FamilyI
denovo163224;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo44233;Cyanobacteria;SubsectionI;FamilyI
denovo138946;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo131890;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo161109;Cyanobacteria;SubsectionI;FamilyI
denovo19922;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae
denovo11748;Gammaproteobacteria;Methylococcales;pLW-20
denovo115323;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo116238;Gammaproteobacteria;Xanthomonadales;uncultured
denovo16850;Cyanobacteria;SubsectionI;FamilyI
denovo153401;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae
denovo113279;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo113536;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae
denovo117644;Cyanobacteria;SubsectionI;FamilyI
denovo131056;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo16649;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo23012;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo32779;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo140408;Cyanobacteria;SubsectionI;FamilyI
denovo22106;Gammaproteobacteria;Aeromonadales;Aeromonadaceae
denovo127597;Sphingobacteriia;Sphingobacteriales;env.OPS 17
denovo144522;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
denovo138138;Gammaproteobacteria;Alteromonadales;Shewanellaceae
denovo125429;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo43172;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo129794;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo34020;Betaproteobacteria;SC-I-84;uncultured bacterium
denovo35424;Cyanobacteria;SubsectionI;FamilyI
denovo133556;uncultured bacterium;0;0
denovo158690;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae
denovo160094;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
denovo114918;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo159712;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo15246;uncultured bacterium;0;0
denovo21838;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo113301;Cyanobacteria;SubsectionIII;FamilyI
denovo136705;Cyanobacteria;SubsectionI;FamilyI
denovo116110;uncultured bacterium;0;0
denovo119966;Actinobacteria;Micrococcales;Microbacteriaceae
denovo118448;Cytophagia;Cytophagales;Cytophagaceae
denovo41012;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo137626;Elusimicrobia;Lineage IV;uncultured bacterium
denovo35169;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo25569;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae
denovo136307;Cyanobacteria;SubsectionI;FamilyI
denovo136156;Gammaproteobacteria;0;0
denovo156059;Cyanobacteria;SubsectionI;FamilyI
denovo158538;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo129890;Cyanobacteria;SubsectionI;FamilyI
denovo34574;Cyanobacteria;SubsectionIII;FamilyI
denovo15536;Actinobacteria;Micrococcales;Microbacteriaceae
denovo40255;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo34065;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo3893;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo137565;Chloroplast;0;0
denovo162161;Betaproteobacteria;Neisseriales;Neisseriaceae
denovo104150;Cyanobacteria;SubsectionI;FamilyI
denovo101450;Cyanobacteria;SubsectionI;FamilyI
denovo100742;Cyanobacteria;SubsectionI;FamilyI
denovo71619;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo62411;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae
denovo72969;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo65907;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo71225;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo73897;Cyanobacteria;SubsectionI;FamilyI
denovo65370;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis
denovo72198;Cyanobacteria;SubsectionI;FamilyI
denovo47456;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo74394;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo67056;Actinobacteria;Frankiales;Sporichthyaceae
denovo71438;Clostridia;Clostridiales;Family XIII
denovo73434;Actinobacteria;Micrococcales;Microbacteriaceae
denovo62755;Sphingobacteriia;Sphingobacteriales;env.OPS 17
denovo67719;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo67402;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae
denovo69013;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo70322;Actinobacteria;Frankiales;Sporichthyaceae
denovo76374;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo6546;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
denovo79898;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo84112;Cyanobacteria;SubsectionIII;FamilyI
denovo92934;Cytophagia;Cytophagales;Cyclobacteriaceae
denovo8516;Gammaproteobacteria;Pseudomonadales;Moraxellaceae
denovo89524;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo99552;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo57657;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo99064;Deltaproteobacteria;Bradymonadales;Bradymonadaceae
denovo78622;Chloroplast;uncultured phototrophic eukaryote;0
denovo93718;Gammaproteobacteria;Xanthomonadales;Solimonadaceae
denovo99671;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo80284;Cyanobacteria;SubsectionI;FamilyI
denovo93406;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo8256;Cyanobacteria;SubsectionI;FamilyI
denovo77908;Cyanobacteria;SubsectionI;FamilyI
denovo86902;Cytophagia;Cytophagales;Cytophagaceae
denovo97523;Planctomycetacia;Planctomycetales;Planctomycetaceae
denovo57484;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo92539;Gammaproteobacteria;Xanthomonadales;Solimonadaceae
denovo94920;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo57842;Anaerolineae;Anaerolineales;Anaerolineaceae
denovo94983;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo92746;Opitutae;Opitutae vadinHA64;uncultured bacterium
denovo84236;Actinobacteria;Micrococcales;Microbacteriaceae
denovo84786;Betaproteobacteria;Burkholderiales;Burkholderiaceae
denovo83467;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo84137;Cyanobacteria;SubsectionI;FamilyI
denovo85535;Clostridia;Clostridiales;Clostridiaceae 1
denovo78482;Chloroplast;0;0
denovo59799;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo57658;Flavobacteriia;Flavobacteriales;Cryomorphaceae
denovo89762;Gammaproteobacteria;Alteromonadales;Alteromonadaceae
denovo82756;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo104869;Betaproteobacteria;Burkholderiales;0
denovo104847;Deltaproteobacteria;Oligoflexales;Oligoflexaceae
denovo109240;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo100547;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo107583;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo88357;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo8875;Cyanobacteria;SubsectionIII;FamilyI
denovo141231;Cyanobacteria;SubsectionI;FamilyI
denovo150166;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo148451;Cyanobacteria;SubsectionI;FamilyI
denovo150651;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo50686;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo53350;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo50187;Gammaproteobacteria;Pseudomonadales;Moraxellaceae
denovo51827;Actinobacteria;Micrococcales;Microbacteriaceae
denovo55974;Gammaproteobacteria;Aeromonadales;Aeromonadaceae
denovo53434;Deltaproteobacteria;Myxococcales;BIrii41
denovo51168;uncultured bacterium;0;0
denovo48004;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae
denovo52388;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo52599;Deltaproteobacteria;SAR324 clade(Marine group B);uncultured bacterium
denovo50562;Actinobacteria;Micrococcales;Micrococcaceae
denovo157941;Actinobacteria;PeM15;uncultured bacterium
denovo133987;Sphingobacteriia;Sphingobacteriales;LiUU-11-161
denovo32542;Chloroplast;uncultured bacterium;0
denovo119407;Cyanobacteria;SubsectionI;FamilyI
denovo160997;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo127293;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
denovo33972;Spartobacteria;Chthoniobacterales;LD29
denovo161089;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
denovo38240;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group
denovo132640;Cyanobacteria;SubsectionI;FamilyI
denovo22822;Cyanobacteria;SubsectionIII;FamilyI
denovo160326;Cyanobacteria;SubsectionI;FamilyI
denovo138969;Cyanobacteria;SubsectionI;FamilyI
denovo153082;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo23412;Mollicutes;Entomoplasmatales;Spiroplasmataceae
denovo29327;Cyanobacteria;SubsectionI;FamilyI
denovo122774;Cyanobacteria;SubsectionI;FamilyI
denovo13714;Cyanobacteria;SubsectionI;FamilyI
denovo45477;Cyanobacteria;SubsectionI;FamilyI
denovo154568;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo47188;Cyanobacteria;SubsectionI;FamilyI
denovo111161;Cyanobacteria;SubsectionI;FamilyI
denovo17924;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
denovo24316;Cyanobacteria;SubsectionIII;FamilyI
denovo40753;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo159128;Betaproteobacteria;Methylophilales;Methylophilaceae
denovo118926;Gammaproteobacteria;Xanthomonadales;Solimonadaceae
denovo183;Bacteroidia;Bacteroidales;Rikenellaceae
denovo132823;Cyanobacteria;SubsectionI;FamilyI
denovo43506;Cyanobacteria;SubsectionIII;FamilyI
denovo129138;Betaproteobacteria;Burkholderiales;Alcaligenaceae
denovo112512;Betaproteobacteria;Burkholderiales;Comamonadaceae
denovo128572;Cyanobacteria;SubsectionI;FamilyI
