OUT,Phylum,Order,Class,Family,Species
denovo4603,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured
denovo38433,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo104472,Parcubacteria,uncultured bacterium,,,
denovo17704,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,uncultured
denovo131508,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,uncultured
denovo140393,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,uncultured
denovo86700,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
denovo163146,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo8994,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo94528,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo90712,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo118199,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo101326,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo99958,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Paucimonas
denovo134628,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo295,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
denovo37164,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus
denovo163803,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo49387,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo125470,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo67665,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
denovo8989,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured
denovo156326,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo131414,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo127288,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo148600,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo51305,Actinobacteria,Actinobacteria,Frankiales,Cryptosporangiaceae,Fodinicola
denovo85096,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo38258,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Leeia
denovo157016,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella
denovo60822,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,uncultured bacterium
denovo20796,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo31998,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo27085,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo117633,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo61868,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo134403,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo109469,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo53246,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
denovo9603,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,uncultured
denovo34787,Bacteroidetes,Bacteroidetes BD2-2,,,
denovo52661,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo16234,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo14373,Verrucomicrobia,OPB35 soil group,uncultured bacterium,,
denovo27978,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo137856,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured
denovo98896,Proteobacteria,Gammaproteobacteria,Methylococcales,,
denovo63757,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo160233,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo147582,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera
denovo74932,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo28189,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo129793,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothrix
denovo122256,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothricoides
denovo118582,Acidobacteria,Holophagae,Holophagales,Holophagaceae,uncultured
denovo109026,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo28852,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade
denovo79261,Proteobacteria,Gammaproteobacteria,,,
denovo146034,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo48855,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,
denovo44557,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo130370,Parcubacteria,uncultured bacterium,,,
denovo108080,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo2634,Fusobacteria,Fusobacteriia,Fusobacteriales,Hados.Sed.Eubac.3,uncultured bacterium
denovo64015,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo16049,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo140463,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo19418,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas
denovo21369,Verrucomicrobia,OPB35 soil group,uncultured bacterium,,
denovo23575,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,
denovo125395,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothricoides
denovo96529,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo66676,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
denovo128003,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo95413,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo77443,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis
denovo134897,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
denovo90838,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Candidatus Methylopumilus
denovo155926,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chitinibacter
denovo91892,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo121048,Parcubacteria,uncultured bacterium,,,
denovo105123,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo149776,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
denovo44950,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vogesella
denovo5013,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo150441,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
denovo140711,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,
denovo143589,Proteobacteria,Gammaproteobacteria,Xanthomonadales,uncultured,uncultured bacterium
denovo152175,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo128393,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
denovo29876,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo160666,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,uncultured
denovo138501,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Azohydromonas
denovo56146,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Candidatus Aquirestis
denovo5338,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo68680,Verrucomicrobia,OPB35 soil group,uncultured bacterium,,
denovo98910,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade
denovo32851,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo66928,Verrucomicrobia,OPB35 soil group,uncultured bacterium,,
denovo124475,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia
denovo122661,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,uncultured
denovo24277,Proteobacteria,Gammaproteobacteria,Run-SP154,uncultured bacterium,
denovo88010,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Candidatus Accumulibacter
denovo113429,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,CL500-29 marine group
denovo82844,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo22302,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade
denovo91301,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo131271,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,12up
denovo154338,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,uncultured
denovo122085,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
denovo127840,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo131016,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 1
denovo72748,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,uncultured
denovo26196,Proteobacteria,Gammaproteobacteria,uncultured,,
denovo107716,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo110288,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo147008,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo50718,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium
denovo83568,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo94713,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
denovo123438,Elusimicrobia,Elusimicrobia,Lineage IV,,
denovo95832,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix
denovo62194,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo59215,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo82388,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo2406,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo42166,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
denovo125283,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
denovo8988,Bacteroidetes,Bacteroidetes vadinHA17,,,
denovo120442,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,
denovo94652,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
denovo54215,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma
denovo72915,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Candidatus Aquirestis
denovo72735,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothricoides
denovo94037,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo111768,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo110721,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo38836,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Microcystis
denovo33911,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo141958,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo9779,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo74567,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,
denovo122922,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo50564,Proteobacteria,Betaproteobacteria,SC-I-84,uncultured bacterium,
denovo85618,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,
denovo90236,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Phaeodactylibacter
denovo48923,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo76734,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo76198,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo10430,Bacteroidetes,Bacteroidetes VC2.1 Bac22,uncultured bacterium,,
denovo51946,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo121402,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo111384,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo63124,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
denovo139866,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
denovo121270,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo3709,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,
denovo107002,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,
denovo72947,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
denovo124711,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Rhodoluna
denovo88205,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured
denovo2843,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo125912,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
denovo129953,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Limnoluna
denovo62587,Verrucomicrobia,OPB35 soil group,uncultured Verrucomicrobia bacterium,,
denovo106265,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,Candidatus Competibacter
denovo65100,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo141967,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Haliscomenobacter
denovo111269,Cyanobacteria,Cyanobacteria,SubsectionIV,FamilyI,
denovo9812,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo23201,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo95314,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,uncultured
denovo82756,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo95862,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo36628,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured bacterium,
denovo150691,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Candidatus Nitrotoga
denovo7773,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacterales Incertae Sedis,Terrimicrobium
denovo94588,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS3a marine group
denovo98361,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo17763,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
denovo131605,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas
denovo145058,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo99434,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo19811,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo33820,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo121111,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo14535,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo154617,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo333,Bacteroidetes,Bacteroidetes BD2-2,,,
denovo136504,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Deefgea
denovo14664,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
denovo9773,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo45986,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
denovo80903,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Candidatus Accumulibacter
denovo104965,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured
denovo95431,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo136633,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Lacibacter
denovo140889,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo81362,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9 marine group,uncultured Bacteroidetes bacterium
denovo3893,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,LiUU-11-161,uncultured Bacteroidetes bacterium
denovo38524,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo53189,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured
denovo61972,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula
denovo26123,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo78600,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
denovo8006,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
denovo23436,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),uncultured bacterium,
denovo102767,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Candidatus Methylopumilus
denovo34252,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,uncultured
denovo158276,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo144415,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo150883,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo77870,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Microcystis
denovo155183,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo76374,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo133077,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo1861,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,
denovo159532,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo122742,Proteobacteria,Betaproteobacteria,SC-I-84,uncultured bacterium,
denovo120218,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo146011,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo153246,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula
denovo159710,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo98803,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured
denovo144734,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,uncultured
denovo20916,Parcubacteria,Candidatus Moranbacteria,uncultured bacterium,,
denovo106154,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola
denovo160534,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,uncultured
denovo121191,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium
denovo22443,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade
denovo6906,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga
denovo40483,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothrix
denovo63101,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
denovo72741,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothricoides
denovo5539,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo149864,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured
denovo118093,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira
denovo71988,Verrucomicrobia,Spartobacteria,Chthoniobacterales,DA101 soil group,uncultured bacterium
denovo75109,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo27989,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
denovo150783,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
denovo163252,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo39468,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo68291,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo67754,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo100288,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
denovo125092,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
denovo70593,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia
denovo160915,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1 aquatic group
denovo10915,Parcubacteria,uncultured bacterium,,,
denovo126678,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
denovo14560,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
denovo96932,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
denovo150732,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Lewinella
denovo85440,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo55492,Gracilibacteria,uncultured bacterium,,,
denovo132138,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
denovo33216,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo99277,Parcubacteria,uncultured bacterium,,,
denovo22593,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured
denovo142335,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured
denovo156687,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium
denovo93766,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,12up
denovo126790,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,uncultured
denovo55797,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,uncultured
denovo42636,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo142360,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo141477,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured
denovo99324,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo141770,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,uncultured
denovo64476,Firmicutes,Bacilli,Bacillales,Bacillaceae,Ornithinibacillus
denovo161853,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo102103,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo98076,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade
denovo81258,Verrucomicrobia,Opitutae,Opitutae vadinHA64,uncultured Verrucomicrobium sp.,
denovo86415,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo41360,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Lentimicrobiaceae,uncultured bacterium
denovo53492,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Planktothrix
denovo98556,Bacteroidetes,Bacteroidetes BD2-2,uncultured organism,,
denovo33314,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga
denovo127455,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ideonella
denovo471,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudohongiella
denovo161269,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo120270,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,Thiobacillus
denovo110557,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter
denovo140784,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pectobacterium
denovo32743,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
denovo18519,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo28595,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,
denovo18050,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo62050,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans
denovo113613,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo3931,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,Crenothrix
denovo21177,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus
denovo154845,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,
denovo36974,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
denovo27303,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,
denovo76331,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter
